ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
11;Abats;40002;Cervelle, agneau, crue; 503; 121; 503; 121;79.2;10.4;10.4;0.49;8.58;-;-;0;0;1.33;0;0;2.19;1.55;0.88;-;-;-;-;0;0.04;1.06;1.07;-;-;-;-;0;0.49;1350;0.28;   9;-;0.24;1.75;-;  12;               0.044; 270; 296;-; 112;1.17;0;-;-;-;-;-;  16;0.13; 0.3; 3.9;0.92;0.29;   3;11.3
11;Abats;40052;Coeur, boeuf, cru; 423; 100; 423; 100;  79;18.5;18.5;0;2.95;0;0;0;0; 1.1;0;0;0.74;0.56;0.61;0;0;0;0;0;               0.027; 0.3;0.35; 0.4;0.27;               0.026;-;0;0; 137; 0.2;5.48;-;0.35;5.14; 1.9;  19;               0.034; 213; 264;23.5;81.7;1.49;0;0; 0.9;0.21;0;-;   2;0.29;0.83;6.78;2.15;0.11;11.5;8.44
11;Abats;40102;Foie, agneau, cru; 575; 137; 575; 137;71.2;21.8;21.8;0.16;5.45;0.16;0;0;0;1.44;0;0;1.45;0.85;1.44;-;-;-;-;0;               0.019;0.45;0.77;0.54;0.36;               0.029;0.42;-;-; 371;0.14;   7;-;6.98;6.43;   3;  19;0.18; 364; 313;48.7;57.4;   4;54.4;  72;0.45;0.69;   1;-;   4;0.34;3.63;  18;6.13;0.37; 230;95.8
11;Abats;40700;Gésier, poulet, cru; 437; 104; 437; 104;77.8;17.3;17.3; 0.3;3.75;0;0;0;0;0.93;0;0;1.12; 0.9;0.62;0;0;0;0;0;               0.013;0.61;0.29; 0.9;0.45;              0.0062;0.16;0;0; 240;0.18;  11;-;0.12;2.49; 1.2;  14;               0.055; 148; 213;-;73.3;2.72;  42;0; 0.6;0.27;0;-; 3.7;               0.059;0.14;4.09;0.63;0.12;21.5;0.91
11;Abats;40201;Langue, veau, cuite; 995; 239; 995; 239;60.5;  21;  21;0.55;  17;-;0;0;0;0.91;0;0;4.83;6.86;0.63;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 162;0.16;   9;-;0.21; 2.6;-;  18;               0.047; 166; 162;-;  64; 3.8;0;-;-; 1.1;-;-;   6;0.11;0.35; 2.6; 1.1;0.16;   9; 6.8
11;Abats;40302;Ris, agneau, cru; 548; 131; 548; 131;74.6;14.6;14.6;2.35;7.04;0;-;0;0; 1.4;0;0;3.12;2.97; 0.4;-;-;-;-;               0.044;0.31;1.36;1.41;2.17;0.12;0.13;               0.077;-;-; 260;0.18; 5.5;-;0.13;1.64; 1.9;13.6;               0.061; 400; 380;   6;70.3;1.92;0;-;   1;0.04;-;-;  38;               0.063;0.21;3.95;   1;0.05;  13; 4.6
11;Abats;40402;Rognon, boeuf, cru; 389;92.3; 389;92.3;79.8;17.1;17.1;0;2.65;0;0;0;0;1.22;0;0; 0.5; 0.3;0.67;0;0;0;0;0;               0.011;0.23;0.21;0.21;0.22;               0.013;               0.056;0;0; 411;0.42;11.2;-;0.43;7.04; 5.6;  16;0.11; 243; 236; 118; 169;1.52; 204;0;1.05;0.21;0;-;12.2; 0.4;2.37;7.91;3.91;0.36;  89;21.1
11;Abats;40600;Sang, boeuf, cru; 349;82.1; 349;82.1;80.5;19.5;19.5; 0.8;0.12; 0.8;0;0;0;0.77;0;0;0.04;0.05;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 190; 0.6;   4;-;-;46.5;-;-;-;14.5; 107;-; 240; 0.2;   5;  93; 0.1; 0.4;-;-;-;               0.055;               0.065;0.85;-;0;   7;-
11;Abats;40502;Tripes, boeuf, crues; 342;81.5; 342;81.5;84.2;12.1;12.1;0;3.69;0;0;0;0;0.55;0;0;1.29;1.53;0.18;0;0;0;0;0;0.07;0.64;0.46;-;-;               0.007;-;0;0; 122;0.24;  69;-;0.07;0.59;-;  13;               0.085;  64;  67;-;  97;1.42;0;0;0;0.09;0;-;   3;0;               0.064;0.88;0.23;               0.014;   5;1.39
28.2;Aromates frais;11000;Ail, cru;-;-;-;-;64.3;5.81;5.81;21.2;0.34;1.43;13.4; 4.7;0;1.41;0;-;               0.075;               0.011;0.25;0;0;0;               0.002;0;< 0.00027;               0.062;              0.0039;               0.011;0.14;               0.013;0;0;0;0;               0.098;80.5;  61; 0.3; 1.6; 1.9;  25;1.67; 157; 401;   2;  39;1.16;0;   5;0;               0.045; 1.7;-;18.1; 0.2;0.11; 0.7; 0.6;1.99;51.3;0
28.2;Aromates frais;11093;Aneth, frais; 202;48.2; 202;48.2;  86;3.93;3.93; 3.9; 1.1; 1.2;-; 3.5;0; 2.5;0;traces;0.27;0.54;               0.064;-;-;-;-;               0.001;               0.001;               0.046;               0.008;0.54;               0.056;              0.0087;-;-;-;0;0.15; 202;-;0.22; 5.5; 3.9;  28; 2.7;51.9; 647; 2.7;  27; 1.8;0;-;0; 1.7;-;-;  70;0.19;0.43; 2.4; 0.3; 0.3; 116;0
28.2;Aromates frais;11002;Cerfeuil, frais; 159;37.9; 159;37.9;89.2;3.21;3.21;3.63; 0.6; 0.6;-;2.55;0; 2.1;0;traces;0.22;              0.0097;0.25;-;-;-;-;-;-;               0.075;               0.003;-;0.08;0.17;0;-;-;0;               0.038; 273;-;               0.073; 1.6; 2.8;  34; 1.7;40.6; 597; 0.1;  10; 1.1;0;traces;traces; 2.9;-;-;  37;0.13;0.34; 1.5; 0.3;               0.026; 220;0
28.2;Aromates frais;11003;Ciboule ou Ciboulette, fraîche; 125;29.9; 125;29.9;90.9;2.62;2.62; 2.1;0.52;1.75;0;3.19;0;0.85;0;traces;0.15;               0.042; 0.2;0;0;0;0;0;              0.0093;               0.059;              0.0055;               0.017;               0.083;0.12;0;0;0;0;               0.026;92.8;-; 0.1;1.31; 2.2;23.8;0.85;46.3; 275;0.35;11.5;0.45;0;1610;0;0.99; 260;-;39.7;               0.065;0.12;0.57;0.19;0.12;78.3;0
28.2;Aromates frais;11092;Estragon, frais; 184;  44; 184;  44;-; 3.8; 3.8; 4.1;traces; 1.2;-; 6.2;0;               0.025;0;traces; 0.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
28.2;Aromates frais;11016;Raifort, cru;-;-;-;-;73.8; 7.5; 7.5;  13; 0.7;-;-; 7.5;0; 1.8;0;-;0.11;               0.067;0.38;-;-;-;-;-;-; 0.1;               0.009;               0.062;0.12;0.27;-;-;-;0;               0.015;93.7;-;0.23; 1.3; 0.9;  25;0.46;80.5; 587; 0.2;   6; 1.4;0;  11;0;0;-;-; 152;0.14;0.11; 0.6;-;0.18;-;0
28.1;Aromates séchés;11023;Ail séché, poudre;1460; 344;1460; 344;6.48;16.7;16.7;62.8;0.77;2.43;-;9.45;0;3.42;0;traces; 0.2;               0.067;0.29;0;0;0;              0.0024;0;               0.012;               0.097;               0.084;               0.062;0.27;               0.016;-;0;0;0;0.11;79.5;-;0.53; 4.2;-;67.5;0.98; 416;1150;-;  43;2.81;0;0;0;0.67; 0.4;-;2.39;0.45;0.15;0.74;0.74;1.65;  47;0
28.1;Aromates séchés;11032;Basilic, séché;1010; 244;1010; 244;10.4;  23;  23;10.1;4.07;1.71;-;37.7;0;14.9;0;traces;2.16;1.24; 0.5;0;0;0;0;0;               0.046;1.04;1.08;1.07;-; 0.3;-;0;0;0;0.19;2240;-; 2.1;89.8;-; 711; 9.8; 274;2630;-;  76; 7.1;0; 378;0;10.7;1710;-; 0.8;0.08; 1.2; 4.9;0.84;1.34; 310;0
28.1;Aromates séchés;11060;Herbes de Provence, séchées;1170; 283;1170; 283; 7.1;11.5;11.5;  23; 7.2;18.5;   2;40.1;0;  11;0;traces;1.88;0.53;2.86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;               0.088;1860;-;1.06;69.8;traces; 304; 5.2; 297;1970; 4.4;  35;5.47;0;-;0;1.69;-;-;  54;0.33;0.34;6.03;0;1.58; 274;0
28.1;Aromates séchés;11034;Marjolaine, séchée;1140; 276;1140; 276;7.64;12.7;12.7;20.3;7.04;4.09;-;40.3;0;12.1;0;traces;0.53;0.94;4.41;0;0;0;0;0;0;0.29;0.24;-;-;-;-;0;0;0;0.19;1990;-;1.13;82.7;-; 346;5.43; 306;1520;-;  77; 3.6;0;4810;0;1.69; 622;-;51.4;0.29;0.32;4.12;-;1.19; 274;0
28.1;Aromates séchés;51500;Meloukhia, feuilles de corète séchées, en poudre; 994; 239; 994; 239; 8.4;  23;  23;12.7; 1.8;-; 0.6;  40;0;14.1;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.17;2000; 963; 1.6;  87; 321; 609;12.5; 307;3580;< 5;67.9;   3;-;2360;-; 2.8;-;-;-;0.09;0.36; 2.6; 2.4;0.55;28.3;-
28.1;Aromates séchés;11029;Menthe, séchée;1180; 283;1180; 283;11.3;19.9;19.9;22.2;6.03;-;-;29.8;0;10.7;0;traces;1.58;0.21;3.26;-;-;-;-;-;               0.037;1.13;0.16;-;-;-;-;-;-;0;0.86;1490;-;1.54;87.5;-; 602;11.5; 276;1920;-; 344;2.41;0;-;0;-;-;-;0;0.29;1.42;6.56; 1.4;2.58; 530;0
28.1;Aromates séchés;11035;Origan, séché;1100; 265;1100; 265;9.93;   9;   9;26.4;4.28;4.09;-;42.5;0;7.87;0;traces;1.55;0.72;1.37;0;0;0;               0.004;0.25;               0.004;0.79;0.51;0.71;-;0.62;-;0;0;0;               0.063;1600;-;0.63;36.8;-; 270;4.99; 148;1260;-;  25;2.69;0;1010;0;18.3; 622;-; 2.3;0.18;0.53;4.64;0.92;1.04; 237;0
28.1;Aromates séchés;11024;Persil, séché;1210; 291;1210; 291;3.95;  29;  29;16.8;5.34;7.27;-;29.7;0;15.2;0;traces;1.38;0.76;3.12;0;0;0;0;0;0;1.22;               0.058;0.76;1.25;1.86;-;0;0;0;1.05; 658;-;0.62;  38;-; 386;5.57; 492;4490;-; 422;5.78;0;1150;0;8.96;1360;-; 137;0.62;2.32;10.2;1.79;1.14; 187;0
28.1;Aromates séchés;11036;Romarin, séché;1350; 328;1350; 328;9.31;4.88;4.88;21.5;15.2;-;-;42.6;0;6.53;0;traces;7.37;3.01;2.34;0;0;0;0.05;               0.037;0.32;4.99; 0.6;-;-;-;-;0;0;0;0.13;1280;-;0.55;29.3;-; 220;1.87;  70; 955;-;  50;3.23;0;-;0;-;-;-;61.2;0.51;0.43;   1;-;1.74; 307;0
28.1;Aromates séchés;11062;Sarriette, séchée;1090; 264;1090; 264;   9;6.73;6.73;  23;5.91;-;-;45.7;0;9.63;0;traces;3.26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0.06;2130;-;0.85;37.9;-; 377; 6.1; 140;1050;-;  24; 4.3;0;-;0;-;-;-;  50;0.37;-;4.08;-;1.81;-;0
28.1;Aromates séchés;11037;Sauge, séchée;1320; 320;1320; 320;7.96;10.6;10.6;20.4;12.8;1.71;-;40.3;0;7.95;0;traces;7.03;1.87;1.76;0;0;0.71;0.76; 0.3;0.72;3.15;1.25;-;-;-;-;0;0;0;               0.028;1650;-;0.76;28.1;-; 428;3.13;  91;1070;-;  11; 4.7;0;3490;0;7.48;1710;-;32.4;0.75;0.34;5.72;-;2.69; 274;0
28.1;Aromates séchés;11038;Thym, séché;1180; 285;1180; 285;7.79;9.11;9.11;26.9;7.43;1.71;-;  37;0;11.7;0;traces;2.73;0.47;1.19;0;0;0.24;0.12;0.23;0.15;1.71;0.28;-;-;-;-;0;0;0;0.14;1890;-;0.86; 124;-; 220;7.87; 201; 814;-;  55;6.18;0;2260;0;7.48;1710;-;  50;0.51; 0.4;4.94;traces;0.55; 274;0
12.8;Autres spécialités charcutières;30315;Chorizo;1790; 431;1790; 431;32.9;23.5;23.5;2.64;36.1;2.01;-;0.93;0;3.92;0;0;14.3;16.9;3.18;0;0;0;               0.037;               0.039; 0.7;9.02;4.49;16.3;2.94;0.16;               0.078;0;0;  88;4.24;   8;-;0.08;1.59;   7;  18;0.04; 150; 398;-;1690;3.41;0;0; 1.5;0.22; 1.6;-;0;0.63; 0.3;5.13;1.12;0.53;   2;   2
12.8;Autres spécialités charcutières;30350;Salami;1940; 467;1940; 467;  30;16.3;16.3;8.29;  41;0.83;-;traces;0;4.43;0;0;14.2;19.4; 5.5;< 0.05;< 0.05;< 0.05;               0.037;               0.037;0.51;8.86;4.73;18.8;3.75;0.42;0;0;0;79.8;4.02;13.9;2020;0.14; 1.7;7.87;  13; 0.1; 170; 205;6.55;1580; 1.9;   9;0;1.04;0.26; 1.8;   9;  17;0.18;0.18;3.12;0.91;0.18;3.23;2.28
12.8;Autres spécialités charcutières;30352;Salami porc et boeuf;1460; 351;1460; 351;43.2;21.5;21.5;1.56;28.8;0.61;-;0;0;5.02;0;0;10.4;12.9;3.71;0;0;               0.002;               0.048;               0.026;0.49;6.33;3.27;11.4;3.11;0.15;-;               0.004;               0.007;98.5;4.37;19.5;-;0.23;1.46;-;19.5;0.96; 192; 340;-;1750; 2.8;  11;0;0.95;0.43; 3.2;-;0;0.38;0.28;6.08;1.11;0.45;   3;1.34
12.8;Autres spécialités charcutières;30351;Salami pur porc;1660; 400;1660; 400;36.2;22.6;22.6; 1.6;33.7;0;-;0;0;5.92;0;0;11.9;  16;3.74;0;0;0;0;0;0.52;7.64;3.56;-;-;-;-;0;0;  79;5.65;  13;-;0.16; 1.3;-;  22;0.07; 229; 378;-;2260; 4.2;0;-;-;-;-;-;0;0.93;0.33; 5.6;1.06;0.55;   2; 2.8
12.8;Autres spécialités charcutières;30366;Salami type danois;1830; 442;1830; 442;35.3;17.1;17.1;2.36;40.5;0.56;-;0;0;4.75;0;0;15.4;17.8; 5.3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;  75;3.95;-;-;-;-;-;-;-;-;-;-;1580;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12.8;Autres spécialités charcutières;30701;Saucisson cuit pur porc;1330; 322;1330; 322;52.1;13.8;13.8; 1.3;  29;0;-;traces;0; 1.9;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 1.9;-;1280;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;   5;-;-;-;-;-;-;-
12.8;Autres spécialités charcutières;30705;Saucisson de Paris;1430; 346;1430; 346;50.6;12.5;12.5; 0.6;32.7; 0.5;-;traces;0;1.87;0;0; 3.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.73;-;1400;-;-;-;-;-; 140;-;-; 691;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
12.8;Autres spécialités charcutières;30700;Saucisson à l'ail;1140; 276;1140; 276;57.2;  15;  15;0.56;23.6;0.56;-;0.63;0;   3;0;0;9.92;10.7;2.87;< 0.05;< 0.05;< 0.05;               0.023;               0.023;0.32;5.53;2.96;-;-;0.18;-;-;-;-;   2;   9;1220;-; 2.3;   7;   9;-; 174; 230;-; 783;-;-;-;-;-;-;-;   5;0.16;0.22; 2.6;-;-;-;-
08.1;Beurres et matières grasses laitières;16713;"Matière grasse laitière à 20% MG, légère, ""à tartiner"", doux"; 884; 214; 884; 214;72.1;0.36;0.36;5.71;21.1;1.62;4.09;0;0;0.73;0;0;10.5;4.62;0.71; 0.6;0.38;0.22;0.48; 0.6;1.77;4.63;1.53;3.88;-; 0.1;               0.021;               0.011;-;  59;0.57;22.7; 222;< 1;< 1;< 10; 2.3;< 1;  15;48.1; 5.8; 228;< 1; 448; 732; 0.7;   2;-;-;< 1;< 0.05;< 0.05;< 0.05;0.08;< 0.05;< 5;< 0.2
08.1;Beurres et matières grasses laitières;16712;"Matière grasse laitière à 25% MG, légère, ""à tartiner"", doux";1030; 250;1030; 250;68.8; 0.4; 0.4;4.43;25.6;-; 2.9;0;0;0.77;0;0;16.3;5.85;0.87;0.77;0.51;0.31;0.69;0.84;2.71;7.75;2.26;4.86;-;0.11;0.03;               0.013;-;  70;0.72;  18; 465;< 1;< 1;< 10; 2.5;< 1;  14;51.2; 8.1; 286;< 1; 342; 491;< 0.2; 2.2;-;-;< 1;< 0.05;< 0.05;< 0.05;0.06;< 0.05;< 5;< 0.2
08.1;Beurres et matières grasses laitières;16415;Beurre à 39-41% MG, léger, doux;1530; 371;1530; 371;56.7; 1.1; 1.1; 1.7;  40; 1.5;-;0;0;0.53;0;0;24.8;9.37;-;1.29;0.89;0.58;1.24;1.44;4.12;10.1;   3;7.91;0.63;0.23;-;-;-;84.5;0.45;-;-;-; 0.1;   2;-;-;-;-;-; 180;-;-;-;-;1.22;-;-;-;-;-;-;-;-;-;-
08.1;Beurres et matières grasses laitières;16410;Beurre à 60-62% MG, à teneur réduite en matière grasse, doux;2290; 558;2290; 558;36.7; 1.2; 1.2;0.55;61.2; 0.5;0;0;0;0.35;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 156;               0.052;36.8;  80;< 1;< 1;< 10; 3.8;< 1;  35;47.7; 5.5;20.7;< 1; 417; 319; 0.7; 3.1;-;-;< 1;< 0.05;0.09;< 0.05; 0.1;0.11;< 5;0.32
08.1;Beurres et matières grasses laitières;16402;Beurre à 80% MG, demi-sel;3030; 736;3030; 736;15.5;0.72;0.72;1.59;80.7;0.39;-;0;0;1.45;0;0;  55;21.3;2.57;3.06; 2.6; 1.3;2.38;2.59;6.44;21.9;9.65;18.6;1.61;0.45;-;0;0; 223; 1.9;17.8;1200;              0.0092;0.13;1.75;4.94;              0.0047;  24;  39;< 10; 762;               0.052; 731; 264;1.13;2.11;   7;-;0;               0.006;               0.035;               0.071;0.11;               0.003;   3;0.17
08.1;Beurres et matières grasses laitières;16400;Beurre à 82% MG, doux;3070; 746;3070; 746;15.8;0.72;0.71;1.27;  82; 0.5;0;0;0;0.21;0;0;55.4;21.6;2.73;3.11;2.03;1.36; 2.7;2.94;8.83;23.2;6.97;18.1;1.19;0.37;-;               0.031;0; 223;               0.039;17.8;-;               0.026;               0.026;1.75;2.05;              0.0018;  24;  28;< 10;15.5;               0.083; 716; 243;1.12;2.11;9.63;  15;0;               0.006;               0.035;               0.071;0.11;              0.0035;   3;0.17
08.1;Beurres et matières grasses laitières;16401;Huile de beurre ou Beurre concentré;3700; 900;3700; 900; 1.5;0.28;0.27;0;99.9;0;-;0;0;traces;0;0;61.9;28.7;3.69;3.02;2.08;1.32;2.93;3.59;10.8;28.2;8.49;  22;1.27;0.43;-;               0.044;0; 256;               0.005;   4;-;               0.001;               0.004;-;0;0;   3;               0.002;-;   2;0.01; 824; 193; 1.8; 2.8; 8.6;-;0;               0.001;               0.005;               0.003;0.01;               0.001;0;0.01
31;Compléments alimentaires;11009;Levure alimentaire;1400; 334;1400; 334;   5;40.4;40.4;21.8; 4.5; 2.5; 3.7;22.5;0;5.83;0;0; 0.7; 2.1;0.01;< 0.01;< 0.01;              0.0083;               0.025;               0.033;               0.033;0.41;0.19;1.82;              0.0093;             0.00073;< 0.01;< 0.01;< 0.01;< 0.7;0.35; 130; 251;0.39; 4.1;< 20; 150;0.89;1100;1700;< 20; 141; 8.4;< 21;< 5;-;               0.098;< 0.8;-;< 0.5;11.6;   1;18.5;5.14;0.88; 697;0.34
28.9;Condiments;11004;Cornichon, au vinaigre; 113;26.7; 113;26.7;93.2;1.18;1.18;1.28;0.29;0.68; 0.6; 1.9;0;2.55;0; 3.5;0.13;               0.003;               0.058;-;-;-;-;-;               0.001; 0.1;               0.019;               0.003;               0.025;               0.034;-;-;-;0;2.04;  64;  61;< 0.1; 0.3;< 5;14.3; 0.1;29.1; 147;2.06; 788;0.26;0;   2;0;0.07;0;-;0.22;< 0.04;< 0.04;0.15;0.17;               0.038;41.8;0
28.9;Condiments;11040;Câpres, au vinaigre;-;-;-;-;86.3;2.25;2.25; 3.5;0.86;0.41;0; 3.6;0;8.04;0;-;0.23;               0.063; 0.3;0;0;0;0;0;               0.001;0.17;               0.036;-;-;-;-;0;0;0;4.06;  40;-;0.37;1.67;-;  33;               0.078;  10;  40;-;1620;0.32;0;  83;0;0.88;24.6;-; 4.3;               0.018;0.14;0.65;               0.027;               0.023;  23;0
28.9;Condiments;11013;Moutarde; 632; 152; 632; 152;67.9;6.92;6.92;4.33;11.2;1.66; 2.6;< 1;0;7.36;0;1.82;0.73;4.56;2.63;< 0.005;< 0.005;< 0.005;               0.005;              0.0043;              0.0072;0.33;0.16;1.86;1.59;1.02;0.01;0.01;< 0.0033;0.35; 6.3;86.3;-;               0.082;1.83;   5;48.3;0.39; 130; 150;   6;2000;0.67;0;  51;0;0.36; 1.4;-; 0.3;0.11;               0.048;0.57;0.19;               0.071; 7.5;0
28.9;Condiments;11021;Moutarde à l'ancienne;-;-;-;-;66.9;6.67;6.67; 4.9;11.6;1.82;-;5.43;0;6.59;0;-; 0.7;6.39;4.03;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;0.41; 0.2;2.72;2.55;1.47;               0.012;< 0.01;< 0.01;-;5.23; 100;-;-;4.75;-;76.5;-;-; 218;-;2050; 1.4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
28.9;Condiments;11055;Oignon au vinaigre;-;-;-;-;  93;0.56;0.56; 2.5; 0.2;1.98;-; 1.8;0;2.52;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.36;  24;-;-; 0.4;-;  12;-;  29; 110;-; 908;-;-;-;-;-;-;-;   7;0.03;0.03; 0.2;-;0.22;20.7;0
28.9;Condiments;13032;Olive noire, en saumure;-;-;-;-;74.9;1.38;1.38;< 0.1;17.2;0;-; 6.2;0;2.21;0;-;2.08;10.2;1.51;< 0.0069;< 0.0069;< 0.0069;< 0.0069;< 0.0069;< 0.0069;1.71;0.29; 9.7;1.36;0.14;< 0.0069;< 0.0069;< 0.0069;< 0.7;1.77;  80;1070;0.18; 8.5;< 20;  16;0.07; 7.9;  19;< 50; 706;0.14;0; 265;0; 6.1; 1.4;-;< 0.5;               0.017;< 0.01;< 0.1;               0.038;               0.025;< 5;0
28.9;Condiments;13033;Olive verte, en saumure;-;-;-;-;77.6;1.25;1.25;0.38;14.8;0.33;< 0.1; 5.2;0;3.13;0;-;2.01; 8.8;1.03;< 0.0059;< 0.0059;< 0.0059;< 0.0059;< 0.0059;< 0.0059;1.69;0.25;8.24;0.91;0.12;< 0.0059;< 0.0059;< 0.0059;   1;2.78;  64;1620;0.12;0.17;< 20;  12;0.03; 5.8;  35;< 50;1110;0.07;0; 269;0;5.21; 1.4;-;0.67;< 0.01;< 0.01;< 0.1;               0.031;               0.015;< 5;0
28.9;Condiments;13147;Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);-;-;-;-;  75;2.09;2.09;0.61;15.2;< 0.4;-;4.33;0;3.34;0;-;2.63;10.3;1.59;-;-;-;-;-;              0.0073;2.14;0.39;10.3;1.09; 0.1;-;-;-; 1.4;2.78;66.8;1880;0.23; 0.3;27.7;11.2;< 0.1;14.8;32.9;< 5;1110;0.11;< 2;-;< 0.5;4.18;-;-;38.6;< 0.04;               0.021;0.11;< 0.08;< 0.04;13.8;0.08
28.9;Condiments;11043;Tapenade;-;-;-;-;62.3; 1.3; 1.3; 2.6;  23; 0.2;0; 3.7;0;4.64;0;-; 2.7;17.3;2.03;-;-;-;-;-;0.02;2.08; 0.6;17.3;1.87;0.16;-;-;-; 3.2; 3.2;  63;-;0.15; 4.3; 4.5;  20;0.05;  23; 258; 2.2;1280; 0.4;0; 162;0;4.49;-;-;1.05;0;0.09; 1.1;0.02;0.02;0;0
28.9;Condiments;11018;Vinaigre;97.4;22.6;97.4;22.6;92.9;0.17;0.17;0.49; 0.1;0.04;0;0;0;0.22; 0.2; 5.9;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;0;               0.033;   9; 0.1;              0.0075;0.37;< 5;12.3;0.15;  19;54.8; 0.1;13.1;               0.015;0;0;0;0;0;-; 0.5;0;0;0;0;               0.001;0;0
28.9;Condiments;11091;Vinaigre balsamique;-;-;-;-;76.8;0.63;0.63;25.8;0.05;21.8;-; 0.5;0;0.62;0;-;0;-;0;< 0.03;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.066;  18;11.3;0.02;0.61;< 20;  12;0.14;  23; 159;< 20;26.5;0.43;-;< 5;-;-;< 0.8;-;< 0.5;< 0.01;< 0.01;0.16;               0.072;1.34;7.68;-
28.9;Condiments;11090;Vinaigre de cidre;-;-;-;-;93.8;0;0;0.93;0; 0.4;-;0;0;0.17;0;-;0;0;0;0;0;0;0;0;0;0;0;-;-;-;-;0;0;0;               0.013;   7;-;               0.008; 0.2;-;   5;0.25;   8;  73;-;   5;0.04;0;0;0;0;0;-;0;0;0;0;0;0;0;0
14.1;Crustacés et mollusques, crus;10019;Bulot ou Buccin, cru; 557; 131; 557; 131;  66;23.8;23.8;7.52;0.64;0;0;0;0;   2;0;0;               0.031;               0.028;               0.023;0;0;0;0;0;               0.002;0.02;               0.009;-;-;-;-;               0.004;               0.006;  65;0.52;  57;-;1.03;5.03;-;  86;0.45; 141; 347;-; 206;1.63;  26;0;0;0.13; 0.1;-;   4;               0.026;0.11;1.05;0.21;0.34;   6;9.07
14.1;Crustacés et mollusques, crus;10001;Calmar ou calamar ou encornet, cru; 319;75.4; 319;75.4;80.8;12.7;12.7;4.25;0.87;0;0;0;0;1.43;0;0;0.25;0.11;0.33;0;0;0;0;0;               0.017;0.18;               0.047;               0.038;              0.0014;-;-;               0.099;0.23; 247;0.72;17.5;-; 0.2; 0.2;12.8;44.2;< 0.1; 131; 206;30.8; 289;1.15;   2;0;0.36;1.39;0;-; 4.7;< 0.04;               0.044;1.59;0.24;0.11;   5;4.75
