ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
15.1;Légumes crus;20072;Petits pois, crus; 283;67.3; 283;67.3;79.2;5.84;5.84;   7;0.55;5.67;-; 5.5;-;0.84;0;-; 0.1;               0.042;0.29;0;0;0;0;0;0;               0.092;              0.0075;               0.042;0.24;               0.048;0;0;0;0;              0.0088;27.5;37.5;0.14;1.64;0.58;30.5; 0.4; 119; 272;1.02; 3.5;   1;0; 449;0;               0.075;40.9;-;41.5;0.29;0.13;2.15;0.43;0.16;  45;0
15.1;Légumes crus;20151;Piment, cru; 188;44.5; 188;44.5;87.9;1.87;1.87; 7.7;0.32; 5.3; 2.3;1.65;-;0.74;0;-;               0.031;               0.018;0.17;0;0;0;0;0;              0.0015;               0.024;               0.005;               0.011;0.11;               0.005;-;0;0;0;0.02;  14;-;0.15;1.12;-;  24;0.21;55.3; 331;-;   8;0.28;0; 534;0;0.69;  14;-; 155;               0.081;               0.088;1.07;0.13;0.39;  23;0
15.1;Légumes crus;20038;Pissenlit, cru; 205;48.8; 205;48.8;85.3;2.84;2.84; 6.1;0.85;0.71;-; 2.7;-; 1.4;0;-;0.17;               0.014;0.31;0;0;0;0;0;               0.009;0.15;               0.007;-;0;-;-;0;0;0;0.22;62.3;-;               0.067; 3.1; 0.4;13.2;0.16;  66; 397;< 2.2;87.8;0.21;0;5850;0;3.44; 778;-;37.5;0.19; 0.2; 0.8;               0.084;0.25;  27;0
15.1;Légumes crus;20039;Poireau, cru; 137;32.6; 137;32.6;88.4;1.59;1.59; 4.9;0.25;3.15;-;2.27;               0.056;1.02;0;-;0.05;               0.007;0.14;0;0;0;0;0;0;               0.048;              0.0023;               0.007;0.11;0.03;-;0;0;< 0.15;               0.034;50.7;-;               0.087; 1.5; 0.7;  19;0.34;40.3; 208;0.56;14.5;0.21;0;1000;0;0.74;  47;-;18.5;               0.065;               0.065; 0.5;0.13;0.24;  73;0
15.1;Légumes crus;20173;Pois mange-tout ou pois gourmand, cru; 189;44.8; 189;44.8;88.3;3.08;3.08; 6.2;0.27;   4;-;2.63;-;0.63;0;-;               0.039;               0.021;               0.089;0;0;0;0;0;               0.002;               0.033;               0.003;-;-;-;-;0;0;0;0.01;40.7;-;               0.079;2.08;-;  24;0.24;56.8; 200;-;   4;0.27;0; 630;0;0.39;  25;-;  60;0.15;0.08; 0.6;0.75;0.16;  42;0
15.1;Légumes crus;20168;Poivron jaune, cru; 124;29.4; 124;29.4;  92;   1;   1;5.42;0.21;-;-; 0.9;-;0.45;0;-;               0.031;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;               0.005;  11;-;0.11;0.46;-;  12;0.12;  24; 212;-;   2;0.17;0; 120;0;-;-;-; 184;               0.028;               0.025;0.89;0.17;0.17;  26;0
15.1;Légumes crus;20087;Poivron rouge, cru; 124;29.4; 124;29.4;91.9;1.12;1.12; 4.5;0.35;4.13;0; 1.9;-;0.54;0;-;               0.055;              0.0075;0.15;0;0;0;0;0;0;               0.044;               0.012;              0.0075;               0.094;               0.053;-;0;0;0;               0.012;6.39;-;               0.049;0.46;0.55;12.4;0.11;28.3; 229; 0.1; 4.5;0.24;0;1620;0;2.24; 4.9;-; 159;               0.052;0.09;1.29;0.29; 0.3;  67;0
15.1;Légumes crus;20085;Poivron vert, cru;82.3;19.6;82.3;19.6;  94;0.74;0.74; 2.8;0.24;2.09;0;1.67;-;0.42;0;-;               0.057;               0.008;0.11;0;0;0;0;0;0;               0.046;               0.011;               0.008;               0.068;               0.038;-;0;0;0;              0.0032;13.5;-;               0.057;0.35;0.55;11.2;               0.093;23.7; 181;2.23;1.09;0.12;0; 208;0;0.46; 7.4;-;92.2;               0.046;               0.027;0.54;0.16;0.21;22.5;0
15.1;Légumes crus;20041;Poivron, vert, jaune ou rouge, cru; 113;26.8; 113;26.8;92.1; 0.8; 0.8;4.55;0.27; 2.7;< 0.5; 1.5;-;0.58;0;-;               0.071;0.02;0.16;-;-;-;-;              0.0011;              0.0043;               0.043;               0.014;               0.011;               0.091;               0.026;-;-;-;0;               0.021; 7.7;  61;< 0.1; 0.4;< 5;11.9; 0.1;22.5; 155;41.6; 8.4;0.13;< 2; 834;< 0.5;1.44;-;-; 121;               0.041;               0.041;0.74;0.12;0.38;40.7;-
15.1;Légumes crus;20132;Potimarron, pulpe, cru;75.8;  18;75.8;  18;94.6;0.63;0.63; 3.1; 0.1;-;2.26; 1.1;-; 0.5;0;-;               0.027;               0.002;               0.051;-;-;-;-;-;-;               0.027;-;               0.002;               0.018;               0.033;0;-;-;0;               0.074;18.5;-;               0.029;0.27;0.43;7.13;               0.038;  33; 243;< 3.35;29.7;0.11;0;-;0; 0.1;-;-;   5;0.05;0.02; 0.2; 0.4;0.05;  36;0
